CMDLINE /opt/homebrew/anaconda3/bin/python examples/prov4ml_torch.py
MEM 622.437500 1744798157.9857
MEM 622.484375 1744798158.0888
MEM 622.500000 1744798158.1899
MEM 622.546875 1744798158.2916
MEM 622.531250 1744798158.3948
MEM 622.531250 1744798158.5000
MEM 622.546875 1744798158.6012
MEM 622.546875 1744798158.7064
MEM 622.578125 1744798158.8096
MEM 622.609375 1744798158.9109
MEM 622.609375 1744798159.0160
MEM 622.625000 1744798159.1212
MEM 622.625000 1744798159.2262
MEM 622.656250 1744798159.3314
MEM 622.656250 1744798159.4344
MEM 622.671875 1744798159.5366
MEM 622.687500 1744798159.6418
MEM 622.703125 1744798159.7451
MEM 622.718750 1744798159.8502
MEM 622.781250 1744798159.9554
MEM 622.781250 1744798160.0595
MEM 622.812500 1744798160.1646
MEM 622.843750 1744798160.2688
MEM 622.843750 1744798160.3739
MEM 622.843750 1744798160.4762
MEM 622.875000 1744798160.5794
MEM 622.859375 1744798160.6798
MEM 622.859375 1744798160.7846
MEM 622.875000 1744798160.8897
MEM 622.906250 1744798160.9929
MEM 622.921875 1744798161.0980
MEM 622.968750 1744798161.2012
MEM 622.984375 1744798161.3064
MEM 623.000000 1744798161.4115
MEM 623.015625 1744798161.5166
MEM 623.062500 1744798161.6178
MEM 623.062500 1744798161.7230
MEM 623.093750 1744798161.8262
MEM 623.093750 1744798161.9313
MEM 623.109375 1744798162.0364
MEM 623.140625 1744798162.1416
MEM 623.156250 1744798162.2446
MEM 623.171875 1744798162.3498
MEM 623.203125 1744798162.4550
MEM 623.203125 1744798162.5595
MEM 623.218750 1744798162.6607
MEM 623.234375 1744798162.7613
MEM 623.234375 1744798162.8665
MEM 623.265625 1744798162.9716
MEM 623.281250 1744798163.0754
MEM 623.312500 1744798163.1762
MEM 623.312500 1744798163.2814
MEM 623.343750 1744798163.3846
MEM 623.359375 1744798163.4897
MEM 623.375000 1744798163.5948
MEM 623.390625 1744798163.7000
MEM 623.390625 1744798163.8051
MEM 623.406250 1744798163.9095
MEM 623.421875 1744798164.0147
MEM 623.437500 1744798164.1178
MEM 623.468750 1744798164.2229
MEM 623.453125 1744798164.3262
MEM 623.453125 1744798164.4313
MEM 623.468750 1744798164.5365
MEM 623.484375 1744798164.6417
MEM 623.515625 1744798164.7429
MEM 623.531250 1744798164.8480
MEM 623.562500 1744798164.9512
MEM 623.578125 1744798165.0564
MEM 623.593750 1744798165.1615
MEM 623.609375 1744798165.2646
MEM 623.625000 1744798165.3697
MEM 623.640625 1744798165.4714
MEM 623.640625 1744798165.5762
MEM 623.656250 1744798165.6813
MEM 623.671875 1744798165.7845
MEM 623.687500 1744798165.8896
MEM 623.703125 1744798165.9929
MEM 623.718750 1744798166.0981
MEM 623.734375 1744798166.2033
MEM 623.781250 1744798166.3084
MEM 623.781250 1744798166.4095
MEM 623.796875 1744798166.5147
MEM 623.812500 1744798166.6189
MEM 623.828125 1744798166.7240
MEM 623.843750 1744798166.8272
MEM 623.859375 1744798166.9323
MEM 623.859375 1744798167.0375
MEM 623.875000 1744798167.1426
MEM 623.875000 1744798167.2466
MEM 623.906250 1744798167.3502
MEM 623.921875 1744798167.4549
MEM 623.921875 1744798167.5597
MEM 623.937500 1744798167.6648
MEM 623.937500 1744798167.7669
MEM 623.953125 1744798167.8678
MEM 624.000000 1744798167.9729
MEM 624.000000 1744798168.0762
MEM 624.015625 1744798168.1804
MEM 624.015625 1744798168.2855
MEM 624.078125 1744798168.3888
MEM 624.062500 1744798168.4939
MEM 624.062500 1744798168.5947
MEM 624.093750 1744798168.6998
MEM 624.109375 1744798168.8049
MEM 624.125000 1744798168.9096
MEM 624.125000 1744798169.0129
MEM 624.140625 1744798169.1181
MEM 624.140625 1744798169.2232
MEM 624.171875 1744798169.3262
MEM 624.171875 1744798169.4313
MEM 624.187500 1744798169.5364
MEM 624.203125 1744798169.6415
MEM 624.218750 1744798169.7417
MEM 624.234375 1744798169.8468
MEM 624.250000 1744798169.9519
MEM 624.265625 1744798170.0570
MEM 624.281250 1744798170.1621
MEM 624.328125 1744798170.2649
MEM 624.343750 1744798170.3678
MEM 624.343750 1744798170.4717
MEM 624.343750 1744798170.5769
MEM 624.359375 1744798170.6820
MEM 624.359375 1744798170.7871
MEM 624.375000 1744798170.8922
MEM 624.390625 1744798170.9974
MEM 624.406250 1744798171.1023
MEM 624.406250 1744798171.2074
MEM 624.437500 1744798171.3125
MEM 624.453125 1744798171.4171
MEM 624.468750 1744798171.5178
MEM 624.484375 1744798171.6229
MEM 624.484375 1744798171.7280
MEM 624.515625 1744798171.8331
MEM 624.531250 1744798171.9382
MEM 624.546875 1744798172.0433
MEM 624.562500 1744798172.1484
MEM 624.593750 1744798172.2535
MEM 624.609375 1744798172.3586
MEM 624.625000 1744798172.4637
MEM 624.640625 1744798172.5688
MEM 624.656250 1744798172.6692
MEM 624.656250 1744798172.7743
MEM 624.687500 1744798172.8745
MEM 624.687500 1744798172.9796
MEM 624.734375 1744798173.0844
MEM 624.765625 1744798173.1852
MEM 624.734375 1744798173.2858
MEM 624.796875 1744798173.3909
MEM 624.828125 1744798173.4927
MEM 624.828125 1744798173.5979
MEM 624.843750 1744798173.7031
MEM 624.843750 1744798173.8078
MEM 624.859375 1744798173.9129
MEM 624.875000 1744798174.0138
MEM 624.890625 1744798174.1189
MEM 624.921875 1744798174.2240
MEM 624.937500 1744798174.3291
MEM 624.953125 1744798174.4342
MEM 624.953125 1744798174.5347
MEM 625.109375 1744798174.6386
MEM 625.093750 1744798174.7422
MEM 625.109375 1744798174.8470
MEM 625.109375 1744798174.9521
MEM 625.125000 1744798175.0553
MEM 625.140625 1744798175.1560
MEM 625.187500 1744798175.2563
MEM 625.203125 1744798175.3615
MEM 625.218750 1744798175.4636
MEM 625.234375 1744798175.5688
MEM 625.250000 1744798175.6719
MEM 625.250000 1744798175.7758
MEM 625.265625 1744798175.8810
MEM 625.265625 1744798175.9841
MEM 625.281250 1744798176.0893
MEM 625.328125 1744798176.1944
MEM 625.312500 1744798176.2969
MEM 625.328125 1744798176.4020
MEM 625.359375 1744798176.5052
MEM 625.375000 1744798176.6104
MEM 625.390625 1744798176.7155
MEM 625.406250 1744798176.8206
MEM 625.421875 1744798176.9257
MEM 625.437500 1744798177.0309
MEM 625.437500 1744798177.1360
MEM 625.437500 1744798177.2412
MEM 625.453125 1744798177.3463
MEM 625.515625 1744798177.4515
MEM 625.500000 1744798177.5566
MEM 625.531250 1744798177.6594
MEM 625.546875 1744798177.7646
MEM 625.562500 1744798177.8697
MEM 625.609375 1744798177.9748
MEM 625.593750 1744798178.0782
MEM 625.609375 1744798178.1833
MEM 625.625000 1744798178.2884
MEM 625.640625 1744798178.3934
MEM 625.656250 1744798178.4985
MEM 625.796875 1744798178.6036
MEM 625.812500 1744798178.7109
MEM 625.828125 1744798178.8160
MEM 625.828125 1744798178.9178
MEM 625.828125 1744798179.0229
MEM 625.890625 1744798179.1281
MEM 625.906250 1744798179.2332
MEM 625.921875 1744798179.3382
MEM 625.937500 1744798179.4433
MEM 625.953125 1744798179.5470
MEM 625.984375 1744798179.6521
MEM 625.984375 1744798179.7550
MEM 626.000000 1744798179.8601
MEM 626.015625 1744798179.9652
MEM 626.031250 1744798180.0677
MEM 626.031250 1744798180.1729
MEM 626.046875 1744798180.2761
MEM 626.062500 1744798180.3806
MEM 626.093750 1744798180.4858
MEM 626.125000 1744798180.5909
MEM 626.156250 1744798180.6927
MEM 626.156250 1744798180.7978
MEM 626.156250 1744798180.9031
MEM 627.312500 1744798181.0044
MEM 628.578125 1744798181.1094
MEM 629.406250 1744798181.2145
MEM 630.953125 1744798181.3196
MEM 631.375000 1744798181.4247
MEM 638.437500 1744798181.5260
MEM 638.437500 1744798181.6312
MEM 638.453125 1744798181.7344
MEM 638.453125 1744798181.8397
MEM 638.468750 1744798181.9449
MEM 638.484375 1744798182.0469
MEM 656.875000 1744798182.1521
