Country code,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Other Renewables,Solar,Wind,ISO3,ISO2
COM,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,COM,KM
COD,0.0,0.0,0.0,0.9638157894736844,0.0,0.0263157894736842,0.0,0.0098684210526315,0.0,COD,CD
COG,0.0123456790123456,0.0,0.654320987654321,0.2592592592592592,0.0,0.074074074074074,0.0,0.0,0.0,COG,CG
COK,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.0,0.3333333333333333,0.0,COK,CK
CRI,0.0224089635854341,0.0,0.0,0.6638655462184875,0.0,0.1064425770308123,0.072829131652661,0.0196078431372549,0.1148459383753501,CRI,CR
CIV,0.0,0.0,0.4976958525345623,0.4055299539170507,0.0,0.0921658986175115,0.0,0.0046082949308755,0.0,CIV,CI
HRV,0.026711185308848,0.0567612687813021,0.026711185308848,0.3689482470784641,0.0,0.2520868113522538,0.001669449081803,0.0767946577629382,0.1903171953255426,HRV,HR
CUB,0.1305518169582772,0.0,0.0780619111709286,0.0094212651413189,0.0,0.7375504710632571,0.0,0.034993270524899,0.0094212651413189,CUB,CU
CYP,0.0038910505836575,0.0,0.0,0.0,0.0,0.6964980544747081,0.0,0.2373540856031128,0.0622568093385213,CYP,CY
CZE,0.0458765701802293,0.4096122337520481,0.0906608410704533,0.0611687602403058,0.2342981977061715,0.0016384489350081,0.0016384489350081,0.1365374112506827,0.0185690879300928,CZE,CZ
DNK,0.1099099099099099,0.0936936936936937,0.0504504504504504,0.0006006006006006,0.0,0.0738738738738738,0.0102102102102102,0.212012012012012,0.4492492492492493,DNK,DK
DJI,0.0,0.0,0.0,0.0,0.0,0.8571428571428572,0.0,0.0,0.1428571428571428,DJI,DJ
DMA,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666667,0.0,0.0,0.0,DMA,DM
DOM,0.0142857142857142,0.1682539682539682,0.2587301587301587,0.0984126984126984,0.0,0.2777777777777777,0.0,0.1158730158730158,0.0666666666666666,DOM,DO
ECU,0.0168728908886389,0.0,0.107986501687289,0.5838020247469067,0.0,0.280089988751406,0.0,0.0033745781777277,0.0078740157480314,ECU,EC
EGY,0.0021896580764695,0.0,0.8869799562068384,0.0476671719723766,0.0,0.0,0.0,0.0313289540171803,0.0318342597271349,EGY,EG
SLV,0.1123595505617977,0.0,0.1423220973782771,0.2134831460674157,0.0,0.2059925093632959,0.0861423220973782,0.2209737827715355,0.0187265917602996,SLV,SV
GNQ,0.0,0.0,0.3902439024390243,0.3170731707317073,0.0,0.2926829268292683,0.0,0.0,0.0,GNQ,GQ
ERI,0.0,0.0,0.0,0.0,0.0,0.9130434782608696,0.0,0.0869565217391304,0.0,ERI,ER
EST,0.0668789808917197,0.0,0.1337579617834395,0.0031847133757961,0.0,0.4171974522292994,0.0286624203821656,0.2197452229299362,0.1305732484076433,EST,EE
SWZ,0.5789473684210527,0.0,0.0,0.3157894736842105,0.0,0.0526315789473684,0.0,0.0526315789473684,0.0,SWZ,SZ
ETH,0.0545774647887324,0.0,0.0,0.8485915492957747,0.0,0.0176056338028169,0.005281690140845,0.0035211267605633,0.0704225352112676,ETH,ET
FLK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,FLK,FK
FRO,0.0,0.0,0.0,0.2352941176470588,0.0,0.6470588235294118,0.0,0.0,0.1176470588235294,FRO,FO
FJI,0.175,0.0,0.0,0.35,0.0,0.425,0.0,0.0249999999999999,0.0249999999999999,FJI,FJ
FIN,0.1208082545141874,0.0588993981083405,0.0928632846087704,0.1367153912295786,0.1887360275150472,0.053310404127257,0.0107480653482373,0.0386930352536543,0.2992261392949269,FIN,FI
FRA,0.0101529450048812,0.0163358281809306,0.1204035144809632,0.1571103156524569,0.3996095021151969,0.012626098275301,0.0055320533680442,0.13374552554507,0.1444842173771559,FRA,FR
GUF,0.0294117647058823,0.0,0.0,0.3529411764705882,0.0,0.4411764705882352,0.0,0.1764705882352941,0.0,GUF,GF
PYF,0.0,0.0,0.0,0.15625,0.0,0.6875,0.0,0.15625,0.0,PYF,PF
GAB,0.0,0.0,0.5434782608695652,0.358695652173913,0.0,0.0978260869565217,0.0,0.0,0.0,GAB,GA
GMB,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,GMB,GM
GEO,0.0,0.0,0.3662477558348295,0.6193895870736087,0.0,0.0,0.0,0.0107719928186714,0.0035906642728904,GEO,GE
DEU,0.0367837871236149,0.1665362277052354,0.139844297071302,0.0236437780615397,0.0,0.0059727313918523,0.0044074638546772,0.3366972854965605,0.2861144292952177,DEU,DE
GHA,0.001926782273603,0.0,0.5895953757225433,0.3044315992292871,0.0,0.071290944123314,0.0,0.0327552986512524,0.0,GHA,GH
GRC,0.0049392097264437,0.1094224924012158,0.239741641337386,0.1303191489361702,0.0,0.0501519756838905,0.0,0.26709726443769,0.1983282674772036,GRC,GR
GRL,0.0,0.0,0.0,0.4736842105263157,0.0,0.5263157894736842,0.0,0.0,0.0,GRL,GL
GRD,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,GRD,GD
GLP,0.087719298245614,0.1052631578947368,0.0,0.0175438596491228,0.0,0.5263157894736842,0.0175438596491228,0.1578947368421052,0.087719298245614,GLP,GP
GUM,0.0,0.0,0.0,0.0,0.0,0.8076923076923076,0.0,0.1923076923076923,0.0,GUM,GU
GTM,0.2307692307692307,0.116710875331565,0.0,0.4164456233421751,0.0,0.1671087533156499,0.013262599469496,0.026525198938992,0.0291777188328912,GTM,GT
GIN,0.0,0.0,0.0,0.6428571428571429,0.0,0.3412698412698413,0.0,0.0158730158730158,0.0,GIN,GN
GNB,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,GNB,GW
GUY,0.0975609756097561,0.0,0.0,0.0,0.0,0.8780487804878049,0.0,0.024390243902439,0.0,GUY,GY
HTI,0.0,0.0,0.0,0.1666666666666666,0.0,0.8333333333333333,0.0,0.0,0.0,HTI,HT
HND,0.074074074074074,0.0336700336700336,0.0168350168350168,0.3063973063973063,0.0,0.2962962962962962,0.0134680134680134,0.1784511784511784,0.0808080808080807,HND,HN
HKG,0.005231037489102,0.5326939843068875,0.4202266782911944,0.0,0.0,0.02615518744551,0.0,0.015693112467306,0.0,HKG,HK
HUN,0.0326713645099295,0.0762331838565022,0.3497757847533632,0.0038436899423446,0.1300448430493273,0.0108904548366431,0.0019218449711723,0.3741191543882127,0.0204996796925048,HUN,HU
ISL,0.0,0.0,0.0,0.7009966777408638,0.0,0.0431893687707641,0.2524916943521595,0.0033222591362126,0.0,ISL,IS
IND,0.0221713510534571,0.5037093560557887,0.0687608631141633,0.1003221840688456,0.0158548475984569,0.0393827631523167,0.0,0.1549662978506931,0.0948323371062783,IND,IN
IDN,0.0341815829199913,0.5559629070519733,0.2236359715333189,0.0731076126806124,0.0,0.0791459995686866,0.0262022859607504,0.0061462152253612,0.0016174250593055,IDN,ID
IRN,0.0001148369315571,0.0,0.8423288929719799,0.1341295360587965,0.0117133670188332,0.0006890215893431,0.0,0.0068902158934313,0.0041341295360587,IRN,IR
IRQ,0.0,0.0,0.7169723705595542,0.036220106802879,0.0,0.2458788019503134,0.0,0.0009287206872533,0.0,IRQ,IQ
IRL,0.0058724832214765,0.0771812080536912,0.3582214765100671,0.0201342281879194,0.0,0.0696308724832214,0.0033557046979865,0.0620805369127516,0.4035234899328859,IRL,IE
ISR,0.0014130946773433,0.2034856335374469,0.5803108808290155,0.0004710315591144,0.0,0.0,0.0,0.2077249175694771,0.0065944418276024,ISR,IL
ITA,0.0233738274642472,0.0474396432415808,0.440412117484238,0.1449331077964016,0.0,0.0110718130093802,0.0089958480701214,0.2291250192218976,0.0946486237121328,ITA,IT
JAM,0.0185185185185185,0.0,0.2839506172839505,0.0185185185185185,0.0,0.5493827160493826,0.0,0.0679012345679012,0.0617283950617283,JAM,JM
